ts,date_utc,entity,class,block,value_usd,status
1756594800,2025-08-30,Optimism_L1Bridge,legacy-escrow,23257102,207052551.479800,ok
1756594800,2025-08-30,Plasma,native-oft,,0.000000,pre-history
1756594800,2025-08-30,Polygon,upgraded-in-place,75857718,1406959494.709816,ok
1756594800,2025-08-30,Polygon_ERC20Pred,legacy-escrow,23257102,0.000000,ok
1756594800,2025-08-30,Rootstock,native-oft,7944223,2491151.105113,ok
1756594800,2025-08-30,USDT0_lockbox,collateral,23257102,2792341650.436797,ok
1756594800,2025-08-30,Unichain,native-oft,25846441,71043519.057008,ok
1756594800,2025-08-30,XLayer,native-oft,33324290,0.000000,ok
1756767600,2025-09-01,Arbitrum,upgraded-in-place,374715598,897204141.854678,ok
1756767600,2025-09-01,Arbitrum_L1Gateway,legacy-escrow,23271431,346311.918860,ok
1756767600,2025-09-01,Berachain,native-oft,9927278,76613384.720384,ok
1756767600,2025-09-01,Flare,native-oft,46965562,57340788.687116,ok
1756767600,2025-09-01,HyperEVM,native-oft,12723693,176818384.825310,ok
1756767600,2025-09-01,Ink,native-oft,23269189,63436358.199056,ok
1756767600,2025-09-01,Mantle,native-oft,84318644,0.000000,not-deployed
1756767600,2025-09-01,Optimism,native-oft,140584411,0.000000,not-deployed
1756767600,2025-09-01,Optimism_L1Bridge,legacy-escrow,23271431,207087544.603054,ok
1756767600,2025-09-01,Plasma,native-oft,,0.000000,pre-history
1756767600,2025-09-01,Polygon,upgraded-in-place,75938860,1408438263.025406,ok
1756767600,2025-09-01,Polygon_ERC20Pred,legacy-escrow,23271431,0.000000,ok
1756767600,2025-09-01,Rootstock,native-oft,7951283,2371666.228719,ok
1756767600,2025-09-01,USDT0_lockbox,collateral,23271431,2792560040.342999,ok
1756767600,2025-09-01,Unichain,native-oft,26019241,79402168.615009,ok
1756767600,2025-09-01,XLayer,native-oft,33688028,0.000000,ok
1756940400,2025-09-03,Arbitrum,upgraded-in-place,375407541,911136062.697533,ok
1756940400,2025-09-03,Arbitrum_L1Gateway,legacy-escrow,23285725,346311.918860,ok
1756940400,2025-09-03,Berachain,native-oft,10015881,75813194.370336,ok
1756940400,2025-09-03,Flare,native-oft,47065256,57072907.847670,ok
1756940400,2025-09-03,HyperEVM,native-oft,12899373,182964053.452931,ok
1756940400,2025-09-03,Ink,native-oft,23441989,63579728.341822,ok
1756940400,2025-09-03,Mantle,native-oft,84405044,0.000000,not-deployed
1756940400,2025-09-03,Optimism,native-oft,140670811,0.000000,not-deployed
1756940400,2025-09-03,Optimism_L1Bridge,legacy-escrow,23285725,209121624.379080,ok
1756940400,2025-09-03,Plasma,native-oft,12135,0.000000,not-deployed
1756940400,2025-09-03,Polygon,upgraded-in-place,76019992,1407775173.383501,ok
1756940400,2025-09-03,Polygon_ERC20Pred,legacy-escrow,23285725,0.000000,ok
1756940400,2025-09-03,Rootstock,native-oft,7958358,2268898.578730,ok
1756940400,2025-09-03,USDT0_lockbox,collateral,23285725,2802552647.938069,ok
1756940400,2025-09-03,Unichain,native-oft,26192041,73304893.705041,ok
1756940400,2025-09-03,XLayer,native-oft,34055892,0.000000,ok
1757113200,2025-09-05,Arbitrum,upgraded-in-place,376099541,911532227.118378,ok
1757113200,2025-09-05,Arbitrum_L1Gateway,legacy-escrow,23300047,346191.614690,ok
1757113200,2025-09-05,Berachain,native-oft,10102281,64439636.570592,ok
1757113200,2025-09-05,Flare,native-oft,47161567,57881061.706377,ok
1757113200,2025-09-05,HyperEVM,native-oft,13075053,187831386.018023,ok
1757113200,2025-09-05,Ink,native-oft,23614789,63688485.841316,ok
1757113200,2025-09-05,Mantle,native-oft,84491444,0.000000,not-deployed
1757113200,2025-09-05,Optimism,native-oft,140757211,0.000000,not-deployed
1757113200,2025-09-05,Optimism_L1Bridge,legacy-escrow,23300047,209079118.774423,ok
1757113200,2025-09-05,Plasma,native-oft,184935,0.000000,not-deployed
1757113200,2025-09-05,Polygon,upgraded-in-place,76101295,1435924840.102948,ok
1757113200,2025-09-05,Polygon_ERC20Pred,legacy-escrow,23300047,0.000000,ok
1757113200,2025-09-05,Rootstock,native-oft,7965440,2218869.051680,ok
1757113200,2025-09-05,USDT0_lockbox,collateral,23300047,2809942294.688095,ok
1757113200,2025-09-05,Unichain,native-oft,26364841,58293006.707185,ok
1757113200,2025-09-05,XLayer,native-oft,34409547,6.010000,ok
1757286000,2025-09-07,Arbitrum,upgraded-in-place,376790929,914396460.337271,ok
1757286000,2025-09-07,Arbitrum_L1Gateway,legacy-escrow,23314355,346171.614690,ok
1757286000,2025-09-07,Berachain,native-oft,10188681,67452422.204465,ok
1757286000,2025-09-07,Flare,native-oft,47257201,56763117.924604,ok
1757286000,2025-09-07,HyperEVM,native-oft,13250653,188813040.477009,ok
